seed,family,topology,resource,mode,loss,cost,post_switch_loss,return_loss,saturation,violations,runtime_seconds
901037,linear,aligned,scarce,reverse,0.0033316826002636234,0.38123223330086997,0.007287589960641553,0.001010856603359454,0.03125,0,0.01846901599992634
901037,linear,aligned,scarce,generic_nonlinear,0.0033316826002636234,0.38123223330086997,0.007287589960641553,0.001010856603359454,0.03125,0,0.016894524999315763
901037,linear,aligned,scarce,generic_equivalent,0.0033316826002636234,0.38123223330086997,0.007287589960641553,0.001010856603359454,0.03125,0,0.02637996399914755
901037,linear,aligned,scarce,signed_intensity,0.0033316826002636234,0.38123223330086997,0.007287589960641553,0.001010856603359454,0.03125,0,0.029746777000127622
901037,linear,aligned,scarce,gradient,0.005245957599051193,0.3839428866277629,0.015698209696609913,0.0026897088955881686,0.03125,0,0.01617242700024235
901037,linear,aligned,scarce,zero_negative,0.2149777016960649,0.0,0.24786031142223053,0.19378997716554863,1.0,0,0.01483591700002762
901037,linear,rewired,ample,full,0.0020378845497224605,0.3871310518122594,0.005126188797814445,0.00034590623366732203,0.03125,0,0.01875171600011072
901037,linear,rewired,ample,no_K,0.0020378845497224605,0.3871310518122594,0.005126188797814445,0.00034590623366732203,0.03125,0,0.01885178100030771
901037,linear,rewired,ample,no_W,0.0020378845497224605,0.3871310518122594,0.005126188797814445,0.00034590623366732203,0.03125,0,0.018478961000255367
901037,linear,rewired,ample,no_WK,0.0020378845497224605,0.3871310518122594,0.005126188797814445,0.00034590623366732203,0.03125,0,0.018681056000900753
901037,linear,rewired,ample,retuned_zero,0.0020378845497224605,0.3871310518122594,0.005126188797814445,0.00034590623366732203,0.03125,0,0.01864468099950045
901037,linear,rewired,ample,rewired,0.0020378845497224605,0.3871310518122594,0.005126188797814445,0.00034590623366732203,0.03125,0,0.01861397099980877
901037,linear,rewired,ample,reverse,0.0020378845497224605,0.3871310518122594,0.005126188797814445,0.00034590623366732203,0.03125,0,0.018712879000531757
901037,linear,rewired,ample,generic_nonlinear,0.0020378845497224605,0.3871310518122594,0.005126188797814445,0.00034590623366732203,0.03125,0,0.017111063999436738
901037,linear,rewired,ample,generic_equivalent,0.0020378845497224605,0.3871310518122594,0.005126188797814445,0.00034590623366732203,0.03125,0,0.023173528999905102
901037,linear,rewired,ample,signed_intensity,0.0020378845497224605,0.3871310518122594,0.005126188797814446,0.0003459062336673221,0.03125,0,0.028953110000315974
901037,linear,rewired,ample,gradient,0.0027779681611300308,0.3876575765993133,0.008695930083374484,0.0007681016304667645,0.03125,0,0.01619664199995441
901037,linear,rewired,ample,zero_negative,0.2149777016960649,0.0,0.24786031142223053,0.19378997716554863,1.0,0,0.014842370998735532
901037,linear,rewired,scarce,full,0.002126780331454747,0.381338379298442,0.005270871222619527,0.00034577353518222553,0.03125,0,0.01938876199983497
901037,linear,rewired,scarce,no_K,0.002126780331454747,0.381338379298442,0.005270871222619527,0.00034577353518222553,0.03125,0,0.01934269199978189
901037,linear,rewired,scarce,no_W,0.002126780331454747,0.381338379298442,0.005270871222619527,0.00034577353518222553,0.03125,0,0.018576445000576314
901037,linear,rewired,scarce,no_WK,0.002126780331454747,0.381338379298442,0.005270871222619527,0.00034577353518222553,0.03125,0,0.01883272700058569
901037,linear,rewired,scarce,retuned_zero,0.002126780331454747,0.381338379298442,0.005270871222619527,0.00034577353518222553,0.03125,0,0.01879424599997037
901037,linear,rewired,scarce,rewired,0.002126780331454747,0.381338379298442,0.005270871222619527,0.00034577353518222553,0.03125,0,0.018579631000079644
901037,linear,rewired,scarce,reverse,0.002126780331454747,0.381338379298442,0.005270871222619527,0.00034577353518222553,0.03125,0,0.018588707000617433
901037,linear,rewired,scarce,generic_nonlinear,0.002126780331454747,0.381338379298442,0.005270871222619527,0.00034577353518222553,0.03125,0,0.02467173000013645
901037,linear,rewired,scarce,generic_equivalent,0.002126780331454747,0.381338379298442,0.005270871222619527,0.00034577353518222553,0.03125,0,0.01652838199879625
901037,linear,rewired,scarce,signed_intensity,0.002126780331454747,0.381338379298442,0.005270871222619527,0.00034577353518222553,0.03125,0,0.02956927100001394
901037,linear,rewired,scarce,gradient,0.0029303310031959786,0.38238623381943027,0.008919059990135144,0.0007662238938479382,0.03125,0,0.016351542000734298
901037,linear,rewired,scarce,zero_negative,0.2149777016960649,0.0,0.24786031142223053,0.19378997716554863,1.0,0,0.015175247000343006
