candidate,kind,replicate,mean_selection_loss,train_steps,train_seconds,actor_parameters
ppo-01,ppo,0,105.19593292200524,32768,39.06942791300003,10968
ppo-01,ppo,1,105.06964632827373,32768,38.96885445099997,10968
ppo-01,ppo,2,109.74562004249958,32768,39.06376494599999,10968
ppo-02,ppo,0,108.34246962869334,32768,42.39516087799984,10968
ppo-02,ppo,1,109.23857861309726,32768,42.27071389899993,10968
ppo-02,ppo,2,106.44932145227925,32768,42.24783986900002,10968
ppo-03,ppo,0,107.07913424171868,32768,30.200183503000005,10968
ppo-03,ppo,1,100.67950735856884,32768,30.189818952999985,10968
ppo-03,ppo,2,107.74760561843222,32768,30.18768422200003,10968
ppo-04,ppo,0,106.8121362341788,32768,39.43112792400001,10968
ppo-04,ppo,1,107.76241539025473,32768,39.468366183,10968
ppo-04,ppo,2,102.95022425122765,32768,39.44738094499996,10968
ppo-05,ppo,0,104.94109355681576,32768,42.57116404200002,10968
ppo-05,ppo,1,106.75259126660727,32768,42.41989003599997,10968
ppo-05,ppo,2,106.9688519586602,32768,42.63776603300005,10968
ppo-06,ppo,0,109.99110621752011,32768,42.22595009100007,10968
ppo-06,ppo,1,104.38250682968646,32768,42.44802032300004,10968
ppo-06,ppo,2,108.59160418063401,32768,42.23798333100001,10968
ppo-07,ppo,0,111.09205633200084,32768,42.65442558999996,10968
ppo-07,ppo,1,100.61422219577558,32768,42.439448066999944,10968
ppo-07,ppo,2,101.47153422991848,32768,42.542592549000005,10968
ppo-08,ppo,0,104.71090959105642,32768,38.985946272000035,10968
ppo-08,ppo,1,99.80886930268672,32768,38.99499496300007,10968
ppo-08,ppo,2,105.44251098940408,32768,39.16113640000003,10968
ppo-09,ppo,0,107.56972475215379,32768,42.130780249000054,10968
ppo-09,ppo,1,107.70818111233207,32768,42.03000995000002,10968
ppo-09,ppo,2,107.05046291007763,32768,42.313853969999855,10968
ppo-10,ppo,0,107.82093243632052,32768,19.784506547999968,10968
ppo-10,ppo,1,104.58466325975799,32768,20.04300231100001,10968
ppo-10,ppo,2,73.92222374955195,32768,20.033072693999998,10968
ppo-11,ppo,0,95.20588559432913,32768,30.35774512499995,10968
ppo-11,ppo,1,105.12302959945778,32768,30.28727590699998,10968
ppo-11,ppo,2,108.49291768437251,32768,30.230983220999974,10968
ppo-12,ppo,0,110.97629138848019,32768,43.0423693780001,10968
ppo-12,ppo,1,106.27931569614964,32768,43.28330995099998,10968
ppo-12,ppo,2,98.15938779346955,32768,43.18106745800003,10968
ppo-13,ppo,0,106.05576809930302,32768,41.69230236699991,10968
ppo-13,ppo,1,108.16931570176449,32768,41.68366461599999,10968
ppo-13,ppo,2,72.00246428574125,32768,41.88309625199997,10968
ppo-14,ppo,0,108.74179082612198,32768,42.66228505000004,10968
ppo-14,ppo,1,94.70796300469534,32768,42.845700636999936,10968
ppo-14,ppo,2,111.37089145835489,32768,42.58233757400012,10968
ppo-15,ppo,0,111.483680151196,32768,38.64955935199987,10968
ppo-15,ppo,1,94.72860643867817,32768,38.88544900800002,10968
ppo-15,ppo,2,106.64817826729268,32768,39.029587927999955,10968
ppo-16,ppo,0,104.03883124127363,32768,42.88605566900003,10968
ppo-16,ppo,1,91.84441342313464,32768,42.810237779999966,10968
ppo-16,ppo,2,109.14630147297349,32768,43.16741358799993,10968
ppo-17,ppo,0,103.27307435724003,32768,42.020754716000056,10968
ppo-17,ppo,1,106.67603963628385,32768,42.003696472,10968
ppo-17,ppo,2,103.15487539297384,32768,42.16155352099997,10968
ppo-18,ppo,0,105.05178860986295,32768,41.013095663999934,10968
ppo-18,ppo,1,100.97901237570396,32768,41.05650762000005,10968
ppo-18,ppo,2,105.03724228073325,32768,40.99173900100004,10968
ppo-19,ppo,0,109.80733651585051,32768,38.962079292,10968
ppo-19,ppo,1,107.96891351503372,32768,38.932660846999966,10968
ppo-19,ppo,2,102.81109558527045,32768,39.08004353000001,10968
ppo-20,ppo,0,39.418641885794294,32768,42.26892699700011,10968
ppo-20,ppo,1,103.52632097165205,32768,42.543219648999866,10968
ppo-20,ppo,2,108.5580890160054,32768,42.34907925399989,10968
ppo-21,ppo,0,104.43136733615796,32768,30.14260640300006,10968
ppo-21,ppo,1,2.0828951257798436,32768,30.150467771999956,10968
ppo-21,ppo,2,52.79193346016109,32768,30.079007781999962,10968
ppo-22,ppo,0,107.12881526444106,32768,39.296367969000016,10968
ppo-22,ppo,1,103.38382261564645,32768,39.331228437999926,10968
ppo-22,ppo,2,97.73288473714558,32768,38.99712343800002,10968
ppo-23,ppo,0,102.1968044947393,32768,42.357137659000045,10968
ppo-23,ppo,1,108.0960131031461,32768,42.485747144000015,10968
ppo-23,ppo,2,79.50852088878553,32768,42.225137792000055,10968
ppo-24,ppo,0,108.5704788265543,32768,42.31699426,10968
ppo-24,ppo,1,100.68205733495091,32768,42.52390610400005,10968
ppo-24,ppo,2,103.97365428737572,32768,42.34882956699994,10968
ppo-25,ppo,0,108.46435494141446,32768,42.38495878499998,10968
ppo-25,ppo,1,108.62181003433135,32768,42.14269080400004,10968
