seed,variant,tracking_rmse,mean_regret,mean_cost,hard_violations,mean_recovery_steps,recovery_censored,recovery_events,recovery_fraction,recall_regret,reacquisition_regret,effect_discrimination,effect_target_correlation,mean_node_homogeneity,mean_temporal_action_cosine,external_pass
1018,recurrent,0.05610677148711106,0.003144832192267943,14.653276602003183,0,1.0,0,5,1.0,0.01151126480219115,0.0001048675476347664,0.5336594734420664,0.9819623609199625,0.9681170808806737,0.9832142872836347,True
1018,no_self_model,0.05042085083947286,0.002539124584937415,14.709780043519567,0,0.6,0,5,1.0,0.01094288117282519,0.00010420998620884758,0.535765349915556,0.9857087828246767,0.9677959084135562,0.9892740928382413,True
1018,reset_capacity_recall,0.055163313474343036,0.0030398535390296806,14.632877955884224,0,0.6,0,5,1.0,0.010937021423628098,0.00010436110655654924,0.532916480062484,0.9828042543026074,0.9683197500778068,0.9895125403524159,True
1018,reset_gain_only_recall,0.05534557541540788,0.003059995103623646,14.630398184314487,0,0.6,0,5,1.0,0.010935393536696671,0.00010439049489265945,0.5328245953642181,0.9826839056760267,0.9683361539684266,0.9895198691604459,True
1018,freeze_capacity_recall,0.06406793249440677,0.004101562359668906,14.529724415901583,0,0.5,1,5,0.8,0.017674575407365743,0.0010441752677827676,0.5290979372561804,0.9763048179664872,0.9690353063890392,0.9894634876532928,False
1018,reset_freeze_capacity_recall,0.05316175098528353,0.0028230341533823397,14.674099390776249,0,0.6,0,5,1.0,0.01094302786979709,0.0001045263275795659,0.5344432576656983,0.9840080932756452,0.9679892071878239,0.9892955441397251,True
1018,unit_confidence_recall,0.039703494195677876,0.0015732298369072716,15.191260116384742,0,0.6,0,5,1.0,0.0021179910467963078,2.5527246204505153e-07,0.5535972628125266,0.9902281104233093,0.9661216802982411,0.9895071649296596,True
1018,zero_noise,0.05039266117728239,0.0025394203005283836,14.709780043519567,0,0.6,0,5,1.0,0.010937208037913974,0.0001062082124617782,0.5364163553800699,0.9857572175927591,0.9677959084135562,0.9892740928382413,True
1018,gate_small_action_updates,0.05039279655632103,0.0025362963303278054,14.70848461797845,0,0.6,0,5,1.0,0.010911436920000645,0.00010438830198697105,0.5357169885332163,0.9857360219829655,0.9678094172132871,0.9892678327675499,True
1019,dual_pole,0.06251820437367565,0.0039055311681234044,13.450145141211971,0,1.2,0,5,1.0,0.012422142349523758,9.952020940213801e-05,0.5266512113304762,0.9778417633863713,0.9585163257092293,0.9874785824203975,True
1019,recurrent,0.060937283691893905,0.0037103578337610854,13.550133797318958,0,1.2,0,5,1.0,0.011438502252256802,9.919599485310554e-05,0.5306464124715279,0.9784902166787912,0.9579871089524103,0.9760112097683662,True
1019,no_self_model,0.05094858531166036,0.0025927636352742604,13.620166706962559,0,0.6,0,5,1.0,0.010445375633931487,9.804337814416821e-05,0.5334505531426722,0.9855443299580571,0.9578249103271043,0.987033110952033,True
1019,reset_capacity_recall,0.05921644004711237,0.0035035920618679806,13.484777647892614,0,1.0,0,5,1.0,0.010439120155999022,9.883392599991511e-05,0.5280363725622289,0.9803106936908272,0.958319443085016,0.987427826997194,True
1019,reset_gain_only_recall,0.05981363185937643,0.0035746758462237376,13.484437242895625,0,1.0,0,5,1.0,0.010437570868878698,9.892386835973964e-05,0.5280228925437622,0.9798322628237623,0.9582908388778771,0.9873021841713361,True
1019,freeze_capacity_recall,0.06949572489676721,0.004826661068941876,13.336647617524344,0,0.75,1,5,0.8,0.019742563163703097,0.001499908021361934,0.5221139583567247,0.9724620310707967,0.9594085243640511,0.9881326214216792,False
1019,reset_freeze_capacity_recall,0.055196068974461665,0.003043611320248256,13.517787431164024,0,0.8,0,5,1.0,0.010446249239203528,9.814840392113665e-05,0.5293566040685868,0.9831920093749145,0.9581740301780993,0.9879455752282411,True
1019,unit_confidence_recall,0.04761576013689746,0.0022642659034292794,13.991354187035256,0,1.0,0,5,1.0,0.0026738419530918725,2.280287584699626e-07,0.5482995709357474,0.9861381344315755,0.9552653935063707,0.9872787263098451,True
1019,zero_noise,0.05092012773062065,0.002592859408102722,13.620166706962559,0,0.6,0,5,1.0,0.01043890042395655,9.834094004095083e-05,0.5341310836556361,0.9855739459685287,0.9578249103271043,0.987033110952033,True
1019,gate_small_action_updates,0.05095396308670821,0.0025933116442563493,13.62010026548063,0,0.6,0,5,1.0,0.010404912545657615,9.89004997905219e-05,0.5334493939956899,0.985540955304091,0.9578359065590378,0.9870253741832903,True
1020,dual_pole,0.05943824741361326,0.0035299511555185446,13.214302318454907,0,1.0,0,5,1.0,0.015101448755286203,0.00010538812891606065,0.5296527524727553,0.97998398062837,0.9631489764887263,0.9857938003247758,False
1020,recurrent,0.05635219338323843,0.003172615599018542,13.229131300411495,0,1.0,0,5,1.0,0.013081433649210938,0.00010489226100539226,0.5302367720996506,0.9822872488610042,0.9631926527248202,0.9803696419061171,True
1020,no_self_model,0.05227187898238476,0.002729395232265718,13.281199336779522,0,0.6,0,5,1.0,0.011910981535392665,0.0001031032491683225,0.532384843014996,0.9849150446361904,0.9627861249476828,0.9860839356333846,True
1020,reset_capacity_recall,0.05436500208799973,0.0029525993519448554,13.261851636601373,0,0.6,0,5,1.0,0.011923399983322258,0.00010426814605960745,0.5315935310195793,0.9835425246356861,0.9628736612096026,0.9858775375751069,True
1020,reset_gain_only_recall,0.05480185060976388,0.0030002887301715177,13.26270450921823,0,0.6,0,5,1.0,0.011925249673374157,0.00010439109360403943,0.5316283473425817,0.9832156543289171,0.9628441063309312,0.9857320590371105,True
1020,freeze_capacity_recall,0.07682418630528536,0.005899001501385834,13.063117972481043,0,0.75,1,5,0.8,0.027975306983944372,0.002987167191340609,0.5234864525213013,0.9652331747349158,0.9637947381109283,0.9860897038266836,False
1020,reset_freeze_capacity_recall,0.05238533209714063,0.002741268918844353,13.279723654753269,0,0.6,0,5,1.0,0.011911722224365297,0.00010323349775999955,0.5323229759298254,0.9848451366685382,0.9627828331589354,0.9860654063846138,True
1020,unit_confidence_recall,0.04160086431218496,0.0017276778114374647,13.773905869798151,0,0.8,0,5,1.0,0.004392847273355608,3.4986967823411106e-07,0.5524937144998423,0.9894139703722792,0.9606408111112246,0.9853936241715537,True
1020,zero_noise,0.052291915077954776,0.0027344443825200342,13.281199336779522,0,0.6,0,5,1.0,0.01193411268136043,0.00010227459093650899,0.5330273424418188,0.9849256932220497,0.9627861249476828,0.9860839356333846,True
1020,gate_small_action_updates,0.05243353438120781,0.002746321427621943,13.277755659115451,0,0.6,0,5,1.0,0.01198924213360839,0.00010440753188775806,0.5322426728371458,0.9848244974780253,0.9628052522363318,0.9860975391183532,True
1021,dual_pole,0.05738790373580836,0.0032903213413378683,13.339773275654702,0,0.8,0,5,1.0,0.012342285128929112,9.325188136861339e-05,0.529232384748512,0.9814863782139499,0.9664689965076096,0.9868088780139712,True
1021,recurrent,0.05888393185669182,0.0034642672770509877,13.408519163772125,0,1.0,0,5,1.0,0.011382767690156805,9.326007351326248e-05,0.5320011351414978,0.979883339918921,0.9660699581258786,0.9775354044207528,True
1021,no_self_model,0.05040788044523874,0.0025379042571289433,13.468148500222519,0,0.6,0,5,1.0,0.010878659885416544,9.261525832563899e-05,0.5344370399079166,0.9857195049949959,0.9659324448097539,0.9863906582349287,True
1021,reset_capacity_recall,0.0549891114356419,0.0030207522226289043,13.357676087922053,0,0.6,0,5,1.0,0.010887316136190959,9.283050106282193e-05,0.529958149018285,0.9831851658607804,0.9664338969711143,0.9870775159801085,True
